S1_Request_B1,Local:5:O.Data.0,B1: Input 1
S2_Request_B1,Local:5:O.Data.1,B1: Input 2
S3_Request_B1,Local:5:O.Data.2,B1: Input 3
Valve1_Open_B1,Local:5:O.Data.3,B1: Input 4
Valve2_Open_B1,Local:5:O.Data.4,B1: Input 5
Valve3_Open_B1,Local:5:O.Data.5,B1: Input 6
System_Running_B1,Local:4:I.Data.3,B1: Output 4
ODSI_Valve1_B1,Local:4:I.Data.4,B1: Output 5
ODSI_Valve2_B1,Local:4:I.Data.5,B1: Output 6
ODSI_Valve3_B1,Local:4:I.Data.6,B1: Output 7
ODSI_Pass_Sample1_B1,Local:4:I.Data.7,B1: Output 8
ODSI_Fail_Sample1_B1,Local:4:I.Data.8,B1: Output 9
ODSI_Pass_Sample2_B1,Local:4:I.Data.9,B1: Output 10
ODSI_Fail_Sample2_B1,Local:4:I.Data.10,B1: Output 11
ODSI_Pass_Sample3_B1,Local:4:I.Data.11,B1: Output 12
ODSI_Fail_Sample3_B1,Local:4:I.Data.12,B1: Output 13
,,
S1_Request_B9,Local:5:O.Data.8,B9: Input 1
S2_Request_B9,Local:5:O.Data.9,B9: Input 2
S3_Request_B9,Local:5:O.Data.10,B9: Input 3
Valve1_Open_B9,Local:5:O.Data.11,B9: Input 4
Valve2_Open_B9,Local:5:O.Data.12,B9: Input 5
Valve3_Open_B9,Local:5:O.Data.13,B9: Input 6
System_Running_B9,Local:6:I.Data.3,B9: Output 4
ODSI_Valve1_B9,Local:6:I.Data.4,B9: Output 5
ODSI_Valve2_B9,Local:6:I.Data.5,B9: Output 6
ODSI_Valve3_B9,Local:6:I.Data.6,B9: Output 7
ODSI_Pass_Sample1_B9,Local:6:I.Data.7,B9: Output 8
ODSI_Fail_Sample1_B9,Local:6:I.Data.8,B9: Output 9
ODSI_Pass_Sample2_B9,Local:6:I.Data.9,B9: Output 10
ODSI_Fail_Sample2_B9,Local:6:I.Data.10,B9: Output 11
ODSI_Pass_Sample3_B9,Local:6:I.Data.11,B9: Output 12
ODSI_Fail_Sample3_B9,Local:6:I.Data.12,B9: Output 13
,,
S1_Request_B11,Local:5:O.Data.16,B11: Input 1
S2_Request_B11,Local:5:O.Data.17,B11: Input 2
S3_Request_B11,Local:5:O.Data.18,B11: Input 3
Valve1_Open_B11,Local:5:O.Data.19,B11: Input 4
Valve2_Open_B11,Local:5:O.Data.20,B11: Input 5
Valve3_Open_B11,Local:5:O.Data.21,B11: Input 6
System_Running_B11,Local:1:I.Data.3,B11: Output 4
ODSI_Valve1_B11,Local:1:I.Data.4,B11: Output 5
ODSI_Valve2_B11,Local:1:I.Data.5,B11: Output 6
ODSI_Valve3_B11,Local:1:I.Data.6,B11: Output 7
ODSI_Pass_Sample1_B11,Local:1:I.Data.7,B11: Output 8
ODSI_Fail_Sample1_B11,Local:1:I.Data.8,B11: Output 9
ODSI_Pass_Sample2_B11,Local:1:I.Data.9,B11: Output 10
ODSI_Fail_Sample2_B11,Local:1:I.Data.10,B11: Output 11
ODSI_Pass_Sample3_B11,Local:1:I.Data.11,B11: Output 12
ODSI_Fail_Sample3_B11,Local:1:I.Data.12,B11: Output 13
,,
S1_Request_B12,Local:5:O.Data.24,B12: Input 1
S2_Request_B12,Local:5:O.Data.25,B12: Input 2
S3_Request_B12,Local:5:O.Data.26,B12: Input 3
Valve1_Open_B12,Local:5:O.Data.27,B12: Input 4
Valve2_Open_B12,Local:5:O.Data.28,B12: Input 5
Valve3_Open_B12,Local:5:O.Data.29,B12: Input 6
System_Running_B12,Local:6:I.Data.19,B12: Output 4
ODSI_Valve1_B12,Local:6:I.Data.20,B12: Output 5
ODSI_Valve2_B12,Local:6:I.Data.21,B12: Output 6
ODSI_Valve3_B12,Local:6:I.Data.22,B12: Output 7
ODSI_Pass_Sample1_B12,Local:6:I.Data.23,B12: Output 8
ODSI_Fail_Sample1_B12,Local:6:I.Data.24,B12: Output 9
ODSI_Pass_Sample2_B12,Local:6:I.Data.25,B12: Output 10
ODSI_Fail_Sample2_B12,Local:6:I.Data.26,B12: Output 11
ODSI_Pass_Sample3_B12,Local:6:I.Data.27,B12: Output 12
ODSI_Fail_Sample3_B12,Local:6:I.Data.28,B12: Output 13
